2026-08-09 10:48:04 | WARNING  | orders.order_manager         | [2024-03-12 16:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 16:30:00] ORDER CREATED: SELL EURUSD target_notional=7.78 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 16:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 17:00:00] ORDER CREATED: SELL EURUSD target_notional=13.60 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 17:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 17:30:00] ORDER CREATED: SELL EURUSD target_notional=3.66 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 17:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 18:00:00] ORDER CREATED: SELL EURUSD target_notional=6.45 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 18:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 18:30:00] ORDER CREATED: SELL EURUSD target_notional=6.45 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 18:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:48:05 | INFO     | orders.order_manager         | [2024-03-12 19:00:00] ORDER CREATED: SELL EURUSD target_notional=2.52 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:48:05 | WARNING  | orders.order_manager         | [2024-03-12 19:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
